id,popularity,genres,revenue,runtime,vote_average,budget
0,21.946943,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",373554033.0,81.0,7.7,30000000.0
1,17.015539,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",262797249.0,104.0,6.9,65000000.0
